id,empresa,telefone,site,email
22,Bella Produtos Para Iluminação Ltda-ME,+55 (11) 5660-2600,www.bellailuminacao.com.br,comercial@bellailuminacao.com.br 
23,Bernadete Casa,+55 (16) 3352-9090,www.bernadetecasa.com.br,bernadetecasa@bernadetecasa.com.br 
24,Bolis Design,+55 (49) 3324-2457,www.bolis.com.br,bolis@bolis.com.br 
25,Bonté Móveis,+55 (54) 3293-3467,www.bonte.com.br,comercial@bonte.com.br 
26,BTC Decorações e Presentes Ltda,+55 (11) 5660-2600,www.btcmail.com.br,comercial.net@btcmail.com.br 
27,Buchara Com. Imp. Exp. Ltda.,+55 (19) 3794-7102,www.buchara.com.br,alessandro@buchara.com.br 
28,Butzke Importação e Exportação Ltda.,+55 (47) 3312-4000,www.butzke.com.br,marketing@butzke.com.br 
29,ByArtDesign,+55 (11) 4723 8585,www.byartdesign.com.br,adm@byartdesign.com.br 
30,Cabanna Móveis,+55 (83) 3245-4450,www.cabanna.ind.br,financeiro@cabanna.ind.br 
31,Camacã Design em Madeira Ltda.,+55 (71) 8224-6911,www.camacadesign.com,euvaldo@camacadesign.com 
32,Carppem - Movelim Indústria Moveleira Ltda.,+55 (43) 3274-5500,www.carppem.com.br,carppem@carppem.com.br 
33,Cartago Ind. De Tapetes Ltda.,19-3816-5009,www.cartago.com.br,contato@cartago.com.br 
34,Casa Libre Decor,+55 (11) 4301-2401,www.casalibredecor.com.br,marcelo@casalibredecor.com.br 
35,Casa Mundo,+55 (16) 3610-9797,www.casamundodecor.com.br,marketing@casamundodecor.com.br 
36,Casalecchi Móveis Ltda.,+55 (19) 3651-4233,www.casalecchi.com.br,vendas@casalecchi.com.br 
37,Century,+55 (44) 3264-8550,www.meucentury.com,contato@meucentury.com 
38,Cerâmica Mazzotti Ltda. EPP,+55 (19) 3581-3962,www.ceramicamazzotti.com.br,contato@ceramicamazzotti.com.br 
39,CGS Móveis,+55 (45) 3264-1801,www.cgsmoveis.com.br,comercial@cgsmoveis.com.br 
40,China Shopping - Vacheron do Brasil Ltda,11-5666-7999,www.chinashopping.com.br,chinashopping@uol.com.br 
41,Combinare - Majoka Moveis e Estofados Ltda.,+55 (43) 3303-3100,www.combinare.com.br,carlos@combinare.com.br 
42,Companhia das Folhas,+55 (11) 3831-0300,www.ciadasfolhas.com.br,angela@ciadasfolhas.com.br 
43,Cristais di Murano,+55 (47) 3327-0459,www.cristaisdimurano.com.br,comercial@cristaisdimurano.com.br 
44,Cristais São Marcos,+55 (35) 3697-1892,www.cristaissaomarcos.com.br,vendas@cristaissaomarcos.com.br 
45,D Angelis,+55 (45) 3286-8100 (45) 9972-0582,www.anjos.ind.br,dangelis@anjos.ind.br 
46,Daeve Flores e Plantas Pemanentes,+55 (11) 3208-3515,www.daeve.com.br,contato@daeve.com.br 
47,Deco Inside and Outside,+55 (43) 3253-1267,www.decometal.com.br,decometal@decometal.com.br 
48,Decorare Textil Ltda.,83-3245-3344,www.decorareonline.com.br,vendas2@decorareonline.com.br 
49,Decorative,+55 (11) 3361-2401,,sanslemes@gmail.com 
50,Decortextil,+55 (19) 3478-5005,www.decortextil.com.br,vendas@decortextil.com.br 
51,Delinear,+55 (11) 2015-4651,www.delinearmoveis.com.br,renan@delinearmoveis.com.br 
52,Desigan Indústria e Comércio de Móveis Ltda,41-3677-2525,www.desigan.com.br,desigan@desigan.com.br 
53,Destack Móveis,+55 (17) 3422-4040,www.dkline.com.br,ederval@destackmoveis.com.br 
54,DF Decor,+55 (54) 98435-5408,,dfdecormoveis@gmail.com 
55,DiBrianza,+55 (41) 3272-0380,www.dibrianza.com.br,contato@dibrianza.com.br 
56,Doimo Brasil,+55 (31) 3626-9350,www.doimobrasil.com.br,recepcao@doimobrasil.com.br 
57,Eduardo Moraes,+55 (21) 2716-5533,www.eduardomoraesimport.com.br,administrativo1@teratai.com.br 
58,Elisê Móveis Ltda.,+55 (54) 3281-9012,www.elise.com.br,comercial@elise.com.br 
59,Empório Tapetes,+55 (48) 3015-5010,www.emporiotapetes.com.br,comercial_dws@emporiotapetes.com.br 
60,Emporio Tiffany - Due Vetri Moveis e Artigos de Decoração Ltda-ME,+55 (11) 3445-2329,www.lucamilani.com.br,duevetridecor@gmail.com 
61,Emporio Tiffany - Serbin Indústria e Comercial Ltda,+55 (11) 3588-4002,www.emporiotiffany.com.br,miguel@emporiotiffany.com.br 
62,Entrecasa,+55 (71) 3016-6334,www.entrecasa.com.br,representanteentrecasa@hotmail.com 
63,Escal,+55 (49) 3322-2132,www.escalmoveis.com.br,altemir@escalmoveis.com.br 
64,Essenza Design,(54) 3293.1077,www.essenzadesign.com.br,comercial@essenzadesign.com.br 
65,Estobel Indústria de Estofados Ltda.,+55 (54) 2109-3000,www.estobel.com,estobel@estobel.com.br 
66,Estofados Enele,+55 (49) 3344-8999,www.enele.com.br,anamaria@enele.com.br 
67,Estofados Imperial-Casavetti,+55 (54) 3454-9799,www.vilaimperial.com.br,vila.adm@vilaimperial.com.br 
68,Estofados Jardim Ltda.,+55 (47) 2106-7599,www.estofadosjardim.com.br,jardim@estofadosjardim.com.br 
69,Estofados Mannes,+55 (47) 3373-9200,www.mannes.com.br,marcio@estofadosmannes.com.br 
70,Estofados Tironi Ltda.,+55 (47) 3370-4077,www.estofadostironi.com.br,richard@estofadostironi.com.br 
71,Estofados Treviso Ltda.,+55 (54) 3477-1215,www.estofadostreviso.com.br,estofadostreviso@estofadostreviso.com.br 
72,Feeling Estofados Ltda.,+55 (47) 3376-1300,www.feelingestofados.com.br,feeling@feelingestofados.com.br 
73,Fibras Arte - Artes Primavera Móv.Ind.Com.Ltda,+55 (21) 2676-3787,www.fibrasarte.com.br,cristiane.alves@fibrasarte.com.br 
74,Flor de Liz Imports Ltda - EPP,(54) 3225-6830,www.flordelizimports.com.br,comercial@flordelizimports.com.br 
75,Formanova Ind. E Com. De Móveis Ltda.,+55 (48) 3242-3099 (48) 3286-0644,www.formanovamoveis.com.br,formanova@formanovamoveis.com.br 
76,Formline Móveis,+55 (44) 3268-1878,www.formlinemoveis.com.br,formline@terra.com.br 
77,Frontier Importadora,+55 (17) 3213-9600,www.frontierimportadora.com.br,admin@frontierimportadora.com.br 
78,Fuzimoto - Fabio Fuzimoto ME.,+55 (11) 45941361,www.fabiofuzi.com.br,vendas@fabiofuzi.com.br 
79,German Interiores,+55 (61) 3354-7979,www.german.com.br,german@german.com.br 
80,Germânia Moveis e Decoração,+55 (54) 3281-8250,www.germania.com.br,germania@germania.com.br 
81,Gold Line Ind. e Com. de Móveis e Estofados Ltda,+55 (44) 3032-9100,www.goldline.ind.br,goldline@goldline.ind.br 
82,Goods BR Distribuidora Ltda - ME,54 32955300,www.goodsbr.com.br,josue@goodsbr.com.br 
83,GS Móveis,(41) 3372-1216,www.gsmoveis.com.br,gsmoveis@gsmoveis.com.br 
84,Ha. Fatto,+55 (47) 3318-0800,www.hafatto.com.br,hafatto@hafatto.com.br 
85,Hariz Comércio de Tapetes Ltda.,+55 (11) 5053-7700,www.hariz.com.br,melhem@hariz.com.br 
86,Helizart Ltda,+55 (31) 3227-9613,www.helizart.com.br,helizart@helizart.com.br 
87,Herval Móveis e Colchões,+55 (51) 3564-8300,www.moveisherval.com.br,alberto.machado@herval.com.br 
88,Home Collection,+55 (11) 3826-0077,www.homecollection.com.br,vendas@homecollection.com.br 
89,Im In,+55 (12) 2125 1869,www.iminhome.com.br,maria@iminhome.com.br 
90,Itamoveis Industria e Comercio Ltda - ME,+55 (47) 3644-3597,-,comercial@itamoveis.com.br 
91,IUMMI.,+55 (54) 2621-7030,www.iummi.com.br,vendas@iummi.com.br 
92,Jowanel Móveis,+55 (17)3411-1400,www.jowanel.com.br,jowanel@jowanel.com.br 
93,K & F Comércio de Tapetes e Artigos de Decoração,+55 (11) 3825-0199,,henrique@kftapetes.com.br 
94,KZ Home Stock,(11) 2284-8888,www.kzhomestock.com.br,anna@kzhomestock.com.br 
95,Laform Estofados Ltda.,+55 (54) 3285-1690,www.laform.com.br,estevao@laform.com.br 
96,Lazzari Móveis,(54) 3464-8800,www.lazzinterni.com.br,comercial@lazzarimoveis.com 
97,Les Coussins,+55 (19) 3295-7437,www.lescoussins.com.br,contato@lescoussins.com.br 
98,Liberal Marini - AM Liberal Decorações Ltda,+55 (21)993347452,www.liberalmarini.com,contato@liberalmarini.com 
99,Linea Home,(11) 98449-0072,www.lineahome.com.br,vendas@lineahome.com.br 
100,Lovato Moveis Eireli Epp,+55 (41) 3677-2805,www.lovatomoveis.com.br,denise@lovatomoveis.com.br 
101,Lucatti Artes e Decorações Ltda,+55 (13) 3313-1747,www.lucattiartes.com,atendimento@lucattiartes.com 
102,Madeplan Design,+55 (48) 3658-8584,www.madeplan.ind.br,edina@madeplan.ind.br 
103,Maiori Casa,+55 (11) 2423-3333,www.maioricasa.com.br,contato@maioricasa.com.br 
104,Maisofa Estofados,+55  (47) 3634-2723,www.maisofa.com.br,contato@maisofa.com.br 
105,MATREZAN DECOR,+55 (54) 3275-1225,www.matrezan.com.br,fiorin@matrezan.com.br 
106,Melyana Comércio Ltda.,+55 (21) 2527-8020,www.melyana.com.br,melyana@melyana.com.br 
107,Mempra Design,+55 (43) 3174-6600,www.mempra.com.br,bruno@mempra.com.br 
108,Mestre Artesão,+55 (43) 3328-8143,www.mestreartesao.com.br,contato@mestreartesao.com.br 
109,Mobilier Indústria e Comércio de Móveis Ltda.,+55 (48) 3286-3698,,vendas@mobilierdecor.com.br 
110,Modali Design,+55 (11) 3661-2200,www.modali.com.br,denise@modali.com.br 
111,Modalle Móveis,+55 (17) 3421-9186,www.modalle.com.br,mariluci@modalle.com.br 
112,Móveis Cacique,+55 (35) 3531-1559,www.moveiscacique.com.br,contato@moveiscacique.com.br 
113,Móveis Cosmo,+55 (17) 3426-7600,www.cosmo.ind.br,thais@cosmo.ind.br 
114,Móveis Irimar Industria e Comércio Ltda,+55 (47) 3644-2599,www.irimar.com.br,vianei.zappellini@irimar.com.br 
115,Móveis James Ltda.,+55 (47) 3631-0300,www.moveisjames.com.br,comercial@moveisjames.com.br 
116,Móveis Rafana,+55 (32) 3531-1458,www.rafanamoveis.com.br,mc.supervisao@gmail.com 
117,Móveis Rudnick S/A,+55 (47) 3631-1000,www.rudnick.com.br,marketing@rudnick.com.br 
118,Movelaria Coisas do Brasil,+55 (34) 3318-2100,www.reginez.com.br,vendas@reginez.com.br 
119,Msul Ind. de Moveis Ltda.,+55 (54) 3477-2274,www.msulmoveis.com.br,arthur@msulmoveis.com.br 
120,Neoali Brasil Art,+55 (45) 3240-2119,www.neoali.com.br,neoali@neoali.com.br 
121,Nova Home Comércio e Distribuição Ltda - EPP,+55 (21) 3158-9534,www.novahome.com.br,contato@novahome.com.br 
122,O Galpão,+55 (21) 2254-5400,www.ogalpao.com.br,suzana@galpaomoveis.com.br 
123,Officina Móveis,+55 (54) 3282-1290,www.officinamoveisgramado.com.br,vendas@officinamoveisgramado.com.br 
124,Oficina J. Mangabeira,+55 (19) 3867-1275,www.jmangabeira.com.br,carlos@jmangabeira.com.br 
125,Old Compton,+55 (32) 3331.6914,www.hobnob.com.br,hobnob@hobnob.com.br 
126,ÓR Design,+55 (11) 2606-0511,www.ordesign.com.br,ricardo@ordesign.com.br 
127,Orbhes Espumas e Colchoes Ltda.,+55 (47) 3376-8400,www.orbhes.com.br,laercio@feelingestofados.com.br 
128,Parma Móveis Ltda.,+55 (32) 3539-2500,www.parmamoveis.com.br,marianna@parmamoveis.com.br 
129,Pollo Industria e Transporte de Moveis Ltda,+55 (32) 3532-8842,www.pollodecor.com.br,comercial@pollodecor.com.br 
130,Pollus Móveis,+55 (17) 3426-1234,www.pollusmoveis.com.br,pollus@pollusmoveis.com.br 
131,Quadrum & Arte,+55 (11) 3222.7612,www.quadrumeart.com.br,quadroecor@uol.com.br 
132,Recliners Industrial Ltda.,+55 (19) 3486-7512,www.recliners.com.br,recliners@recliners.com.br 
133,Renar Móveis S/A,+55 (49) 3246-591,www.renar.com.br,marcelo@renar.com.br 
134,Ribeiro & Pavani,11-3414-1000,www.ribeiroepavani.com.br,central@ribeiroepavani.com.br 
135,Rivatti Móveis Ltda.,+55 (54) 3025-9300,www.rivatti.com.br,vendas@rivatti.com.br 
136,Rosa Maria Decorações Eireli.,+55 (54) 3462-4932,www.rosamariadecoracao.com.br,rosamariadecoracao@gmail.com 
137,Safari,+55 (41) 3543-1212,safari@safarimoveis.com.br,safari@safarimoveis.com.br 
138,Salva Design de Mobiliário - Salvatore Minuano,+55 (51) 3552-2500,www.salvamobiliario.com.br,thiago@estofadosminuano.com.br 
139,Samec Móveis,4432641433,www.samecmoveis.com.br,sac@samecmoveis.com.br 
140,Sandra Fuganti,+55 (43) 3327-6648,www.sandrafuganti.com.br,agroprima@sandrafuganti.com.br 
141,Sankonfort Colchões,+55 (11) 2131-3888,www.sankonfort.com.br,marketing@sankonfort.com.br 
142,Sarquis Samara Atelier de Escultura Ltda.,+55 (43) 3321-0186,www.sarquissamara.com.br,atelier@sarquissamara.com.br 
143,Serra Gaucha Estofados,+55 (54) 3452-4281,www.serragauchaestofados.com.br,comercial@serragauchaestofados.com.br 
144,Sier Móveis Ltda.,+55 (32) 3539-2100,www.siermoveis.com.br,sier@siermoveis.com.br 
145,Silvia Heringer,+55 (62) 3086.8700,www.silviaheringer.com.br,silviaheringer@silviaheringer.com.br 
146,St. James,+55 (11) 2955-5344,www.saintjames.com.br,ricardo.saad@saintjames.com.br 
147,Star Mobile,+55 (54) 3462-6631,www.starmobileestofados.com.br,starmobile@starmobileestofados.com.br 
148,Studio Casa,41-3649-1066,www.studiocasa.com.br,studiocasa@uol.com.br 
149,Stylofino Ind. e Com.de Quadros Ltda-ME,+55 (11) 4443-2635,www.stylofino.com.br,stylofino@stylofino.com.br 
150,Tapecouro,+55 (16) 3727-1164,www.tapecouro.com.br,caubi@tapecouro.com.br 
151,Tapetah,+55 (11) 98635-2166,www.tapetah.com.br,vanderleil@tapetah.com.br 
152,Tapetes São Carlos Ltda.,+55 (16) 3362-4000,www.tapetessaocarlos.com.br,vendas@tapetessaocarlos.com.br 
153,Tapis Comercio e Confecções de Tapetes Ltda.,+55 (11) 3667-5548,www.tapetestapis.com.br,tapis@terra.com.br 
154,Tempus,+55 (11) 2638-3743,www.tempusdecor.com.br,comercial@bonavent.com.br 
155,Tendenze TR Decoração,+55 (11) 3578-2330,,tendenzedecoracao@gmail.com 
156,Tessuti Estofados Imp Exp Ltda.,+55 (44) 3244-9028,www.tessutiestofados.com.br,gerencia@tessutiestofados.com.br 
157,Tissot & Cia Ltda,+55 (54) 3421.4000,www.tissot.com.br,tissot@tissot.com.br 
158,Top Decor - Decoratto Interiori,+55 (47)3035-2808,www.topdecor.ind.br,contato@topdecor.ind.br 
159,Toque de Arte,+55 (32) 3574-3789,www.toquedeartedesign.com,contato_lgppires@yahoo.com.br 
160,Torneados Fleischmann Ltda,+55 (47) 3644-3696,www.torneadosfleischmann.com.br,contato@torneadosfleischmann.com.br 
161,Trapos e Fiapos - Martins & Cia Ltda Me.,+55 (86) 9910-0101,www.traposefiapos.com.br,contatotraposefiapos@gmail.com 
162,Trees&Co - Brilliant Fgc Comercio Eireli - ME,+55 (11) 2738-0235,www.treesco.com.br,rita@treesco.com.br 
163,TS Brasil,+55 (19) 3902-9083,www.ts-brasil.com,rafael@ts-brasil.com 
164,Tumar Ind. de Móveis LTDA,+55 (54) 3463-8533,www.tumar.com.br,vendas@tumar.com.br 
165,Universum do Brasil Industria Mov. Ltda.,+55 (54) 3293-1488,www.universum.com.br,claudiomar@universum.com.br 
166,Urban Imp. Comercio e Distribuição Ltda,+55 (11) 5660-2600,www.urbanbrasil.com.br,mkt4@urbanbrasil.com.br 
167,Vanessa Taques Casa,+55 (41) 3677-9737,www.vanessataques.com,contato@vanessataques.com 
168,Via Star Tapetes,+55 (11) 2225-9090,www.viastar.com.br,vendas@viastar.com.br 
169,Ville Art,+55 (54) 3292-3841,www.villeart.com.br,comercial@villeart.com.br 
170,Vimeza Industria de Móveis Ltda.,54-3283-1622,www.vimeza.com.br,vimeza@vimeza.com.br 
